Step,Reward,Total Mean,Total Reward
543,550,550,550
927,400,475,950
1315,250,400,1200
1630,200,350,1400
1996,350,350,1750
2427,400,358.3333333,2150
2763,350,357.1428571,2500
3150,300,350,2800
3414,150,327.7777778,2950
3694,100,305,3050
4012,250,300,3300
4312,250,295.8333333,3550
4593,0,273.0769231,3550
4823,100,260.7142857,3650
5144,200,256.6666667,3850
5606,350,262.5,4200
5975,300,264.7058824,4500
6329,350,269.4444444,4850
6601,200,265.7894737,5050
7210,850,295,5900
7517,200,290.4761905,6100
7934,250,288.6363636,6350
8254,250,286.9565217,6600
8783,550,297.9166667,7150
9159,300,298,7450
9525,350,300,7800
9901,250,298.1481481,8050
10425,350,300,8400
10743,200,296.5517241,8600
11077,400,300,9000
11398,200,296.7741935,9200
11772,450,301.5625,9650
12150,350,303.030303,10000
12742,600,311.7647059,10600
13213,400,314.2857143,11000
13529,200,311.1111111,11200
13804,200,308.1081081,11400
14164,250,306.5789474,11650
14435,350,307.6923077,12000
14696,150,303.75,12150
15036,150,300,12300
15373,300,300,12600
15649,150,296.5116279,12750
15926,100,292.0454545,12850
16344,400,294.4444444,13250
16653,250,293.4782609,13500
16934,250,292.5531915,13750
17257,300,292.7083333,14050
17625,350,293.877551,14400
18111,400,296,14800
18647,400,298.0392157,15200
18918,100,294.2307692,15300
19218,300,294.3396226,15600
19453,50,289.8148148,15650
19719,150,287.2727273,15800
20004,100,283.9285714,15900
20416,350,285.0877193,16250
20697,50,281.0344828,16300
21113,300,281.3559322,16600
21471,550,285.8333333,17150
21776,200,284.4262295,17350
22179,400,286.2903226,17750
22444,100,283.3333333,17850
22854,350,284.375,18200
23265,250,283.8461538,18450
23575,200,282.5757576,18650
23829,200,281.3432836,18850
24423,650,286.7647059,19500
25013,550,290.5797101,20050
25295,200,289.2857143,20250
25549,100,286.6197183,20350
25845,250,286.1111111,20600
26208,200,284.9315068,20800
26520,200,283.7837838,21000
26840,300,284,21300
27142,150,282.2368421,21450
27506,250,281.8181818,21700
27779,200,280.7692308,21900
28118,150,279.1139241,22050
28402,350,280,22400
28742,350,280.8641975,22750
29187,400,282.3170732,23150
29515,200,281.3253012,23350
29869,200,280.3571429,23550
30394,500,282.9411765,24050
30684,150,281.3953488,24200
31061,300,281.6091954,24500
31505,500,284.0909091,25000
31910,400,285.3932584,25400
32196,150,283.8888889,25550
32539,400,285.1648352,25950
32815,150,283.6956522,26100
33085,100,281.7204301,26200
33392,200,280.8510638,26400
33671,100,278.9473684,26500
33980,250,278.6458333,26750
34332,300,278.8659794,27050
34594,250,278.5714286,27300
35048,550,281.3131313,27850
35357,250,281,28100
35737,350,281.6831683,28450
35975,100,279.9019608,28550
36246,100,278.1553398,28650
36527,100,276.4423077,28750
36981,600,279.5238095,29350
37287,150,278.3018868,29500
37562,150,277.1028037,29650
37866,200,276.3888889,29850
38158,150,275.2293578,30000
38470,200,274.5454545,30200
38800,300,274.7747748,30500
39111,400,275.8928571,30900
39610,550,278.3185841,31450
39924,250,278.0701754,31700
40166,150,276.9565217,31850
40702,700,280.6034483,32550
41055,350,281.1965812,32900
41316,250,280.9322034,33150
41596,150,279.8319328,33300
41859,150,278.75,33450
42214,300,278.9256198,33750
42492,150,277.8688525,33900
42978,400,278.8617886,34300
43217,150,277.8225806,34450
43490,50,276,34500
44001,500,277.7777778,35000
44264,100,276.3779528,35100
44646,400,277.34375,35500
45076,350,277.9069767,35850
45362,300,278.0769231,36150
45661,200,277.480916,36350
46067,350,278.030303,36700
46351,150,277.0676692,36850
46649,150,276.119403,37000
46968,200,275.5555556,37200
47405,350,276.1029412,37550
47835,300,276.2773723,37850
48169,250,276.0869565,38100
48449,150,275.1798561,38250
48717,300,275.3571429,38550
48975,100,274.1134752,38650
49242,150,273.2394366,38800
49578,400,274.1258741,39200
49924,350,274.6527778,39550
50259,300,274.8275862,39850
50704,450,276.0273973,40300
50973,100,274.829932,40400
51318,300,275,40700
51598,100,273.8255034,40800
51896,300,274,41100
52112,100,272.8476821,41200
52382,100,271.7105263,41300
52752,250,271.5686275,41550
53036,50,270.1298701,41600
53308,100,269.0322581,41700
53713,450,270.1923077,42150
54092,200,269.7452229,42350
54381,200,269.3037975,42550
54785,350,269.8113208,42900
55375,800,273.125,43700
55952,600,275.1552795,44300
56500,600,277.1604938,44900
56776,150,276.3803681,45050
57097,300,276.5243902,45350
57458,350,276.969697,45700
57908,400,277.7108434,46100
58124,250,277.5449102,46350
58394,200,277.0833333,46550
58802,450,278.1065089,47000
59211,450,279.1176471,47450
59500,350,279.5321637,47800
59799,200,279.0697674,48000
60088,250,278.9017341,48250
60383,250,278.7356322,48500
60631,250,278.5714286,48750
60903,250,278.4090909,49000
61177,200,277.9661017,49200
61528,300,278.0898876,49500
61916,500,279.3296089,50000
62185,350,279.7222222,50350
62529,450,280.6629834,50800
62817,200,280.2197802,51000
63184,250,280.0546448,51250
63463,200,279.6195652,51450
63770,250,279.4594595,51700
64190,500,280.6451613,52200
64463,100,279.6791444,52300
64871,300,279.787234,52600
65352,500,280.952381,53100
65632,200,280.5263158,53300
66189,500,281.6753927,53800
66480,200,281.25,54000
66999,750,283.6787565,54750
67273,200,283.2474227,54950
67600,250,283.0769231,55200
67975,250,282.9081633,55450
68261,250,282.7411168,55700
68839,650,284.5959596,56350
69253,450,285.4271357,56800
69530,150,284.75,56950
70101,600,286.318408,57550
70327,200,285.8910891,57750
70865,600,287.4384236,58350
71207,450,288.2352941,58800
71469,200,287.804878,59000
71873,400,288.3495146,59400
72150,200,287.9227053,59600
72481,350,288.2211538,59950
72795,200,287.7990431,60150
73072,100,286.9047619,60250
73367,50,285.7819905,60300
73653,350,286.0849057,60650
74078,500,287.0892019,61150
74380,250,286.9158879,61400
74786,450,287.6744186,61850
75064,200,287.2685185,62050
75319,250,287.0967742,62300
75676,250,286.9266055,62550
76052,450,287.6712329,63000
76338,250,287.5,63250
76590,100,286.6515837,63350
76900,250,286.4864865,63600
77187,300,286.5470852,63900
77516,150,285.9375,64050
77908,400,286.4444444,64450
78350,350,286.7256637,64800
78908,600,288.1057269,65400
79255,300,288.1578947,65700
79781,750,290.1746725,66450
80129,350,290.4347826,66800
80421,350,290.6926407,67150
80788,450,291.3793103,67600
81053,200,290.9871245,67800
81342,300,291.025641,68100
81623,200,290.6382979,68300
81941,200,290.2542373,68500
82316,300,290.2953586,68800
82674,250,290.1260504,69050
83041,300,290.167364,69350
83411,450,290.8333333,69800
83804,450,291.4937759,70250
84051,250,291.322314,70500
84331,350,291.563786,70850
84710,450,292.2131148,71300
85212,600,293.4693878,71900
85519,200,293.0894309,72100
85838,250,292.9149798,72350
86141,300,292.9435484,72650
86583,600,294.1767068,73250
86864,150,293.6,73400
87315,500,294.4223108,73900
87590,200,294.047619,74100
87865,200,293.6758893,74300
88125,350,293.8976378,74650
88396,300,293.9215686,74950
88657,250,293.75,75200
89035,450,294.3579767,75650
89334,300,294.379845,75950
89583,250,294.2084942,76200
89852,250,294.0384615,76450
90298,600,295.210728,77050
90686,400,295.610687,77450
90998,200,295.2471483,77650
91261,150,294.6969697,77800
91645,400,295.0943396,78200
91941,300,295.112782,78500
92247,400,295.505618,78900
92501,200,295.1492537,79100
92809,250,294.9814126,79350
93174,400,295.3703704,79750
93471,400,295.7564576,80150
93783,350,295.9558824,80500
94114,350,296.1538462,80850
94384,100,295.4379562,80950
94641,250,295.2727273,81200
95135,550,296.1956522,81750
95414,150,295.66787,81900
95674,250,295.5035971,82150
96161,600,296.5949821,82750
96470,300,296.6071429,83050
96898,500,297.3309609,83550
97204,400,297.6950355,83950
97587,500,298.409894,84450
97984,250,298.2394366,84700
98331,400,298.5964912,85100
98641,200,298.2517483,85300
98999,350,298.4320557,85650
99469,700,299.8263889,86350
99821,350,300,86700
100090,250,299.8275862,86950
100352,250,299.6563574,87200
100637,200,299.3150685,87400
101040,200,298.9761092,87600
101535,350,299.1496599,87950
101833,250,298.9830508,88200
102172,400,299.3243243,88600
102480,250,299.1582492,88850
102778,350,299.3288591,89200
103050,200,298.9966555,89400
103447,350,299.1666667,89750
104093,700,300.4983389,90450
104509,550,301.3245033,91000
104997,650,302.4752475,91650
105360,400,302.7960526,92050
105669,300,302.7868852,92350
106060,450,303.2679739,92800
106649,800,304.8859935,93600
106969,450,305.3571429,94050
107313,500,305.987055,94550
107620,300,305.9677419,94850
108042,500,306.5916399,95350
108379,250,306.4102564,95600
108706,300,306.3897764,95900
109021,300,306.3694268,96200
109355,350,306.5079365,96550
109735,400,306.8037975,96950
109971,300,306.7823344,97250
110398,700,308.0188679,97950
110625,200,307.6802508,98150
111123,400,307.96875,98550
111404,400,308.2554517,98950
111730,500,308.8509317,99450
112219,450,309.2879257,99900
112615,550,310.0308642,100450
113060,450,310.4615385,100900
113342,250,310.2760736,101150
113697,400,310.5504587,101550
113981,350,310.6707317,101900
114533,600,311.550152,102500
114810,250,311.3636364,102750
115274,800,312.8398792,103550
115730,500,313.4036145,104050
115997,50,312.6126126,104100
116279,250,312.4251497,104350
116639,300,312.3880597,104650
116932,250,312.202381,104900
117345,600,313.0563798,105500
117626,150,312.5739645,105650
118046,600,313.4218289,106250
118567,800,314.8529412,107050
118885,350,314.9560117,107400
119143,350,315.0584795,107750
119409,300,315.0145773,108050
119687,300,314.9709302,108350
120016,400,315.2173913,108750
120281,200,314.8843931,108950
120560,350,314.9855908,109300
120840,150,314.5114943,109450
121309,400,314.756447,109850
121566,200,314.4285714,110050
121842,300,314.3874644,110350
122272,350,314.4886364,110700
122614,300,314.4475921,111000
122890,250,314.2655367,111250
123373,700,315.3521127,111950
123794,500,315.8707865,112450
124318,500,316.3865546,112950
124643,450,316.7597765,113400
124981,400,316.9916435,113800
125254,250,316.8055556,114050
125760,450,317.1745152,114500
126411,950,318.9226519,115450
126699,250,318.7327824,115700
127048,400,318.956044,116100
127433,350,319.0410959,116450
127696,300,318.989071,116750
127952,250,318.8010899,117000
128246,350,318.8858696,117350
128689,400,319.1056911,117750
128992,250,318.9189189,118000
129293,300,318.8679245,118300
129723,600,319.6236559,118900
130120,550,320.2412869,119450
130440,350,320.3208556,119800
130724,150,319.8666667,119950
130991,200,319.5478723,120150
131331,450,319.8938992,120600
131706,300,319.8412698,120900
132657,1000,321.6358839,121900
133118,550,322.2368421,122450
133443,250,322.0472441,122700
133674,100,321.4659686,122800
134013,250,321.2793734,123050
134301,350,321.3541667,123400
134584,200,321.038961,123600
134795,150,320.5958549,123750
135073,250,320.4134367,124000
135450,550,321.0051546,124550
135797,400,321.2082262,124950
136058,250,321.025641,125200
136291,200,320.7161125,125400
136638,300,320.6632653,125700
137180,450,320.9923664,126150
137412,200,320.6852792,126350
137715,300,320.6329114,126650
137990,250,320.4545455,126900
138235,350,320.5289673,127250
138906,600,321.2311558,127850
139209,200,320.9273183,128050
139651,550,321.5,128600
140099,550,322.0698254,129150
140420,250,321.8905473,129400
140648,100,321.3399504,129500
141156,400,321.5346535,129900
141481,400,321.7283951,130300
141929,450,322.044335,130750
142267,300,321.990172,131050
142826,550,322.5490196,131600
143147,300,322.4938875,131900
143584,600,323.1707317,132500
143842,250,322.9927007,132750
144201,300,322.9368932,133050
144473,250,322.7602906,133300
144712,250,322.5845411,133550
144984,300,322.5301205,133850
145463,500,322.9567308,134350
146074,500,323.381295,134850
146517,450,323.6842105,135300
146864,450,323.9856802,135750
147170,350,324.047619,136100
147547,500,324.4655582,136600
147864,350,324.5260664,136950
148550,850,325.7683215,137800
149092,600,326.4150943,138400
149442,400,326.5882353,138800
149783,400,326.7605634,139200
150097,250,326.5807963,139450
150385,200,326.2850467,139650
150686,300,326.2237762,139950
150959,200,325.9302326,140150
151486,800,327.0301624,140950
151924,450,327.3148148,141400
152261,450,327.5981524,141850
152596,400,327.764977,142250
152968,300,327.7011494,142550
153280,200,327.4082569,142750
153800,600,328.0320366,143350
154314,500,328.4246575,143850
154607,300,328.3599089,144150
154954,250,328.1818182,144400
155262,300,328.1179138,144700
155671,350,328.1674208,145050
156112,500,328.5553047,145550
156387,200,328.2657658,145750
156813,650,328.988764,146400
157082,50,328.3632287,146450
157326,250,328.1879195,146700
157724,400,328.3482143,147100
158364,1000,329.844098,148100
158992,900,331.1111111,149000
159426,450,331.3747228,149450
159695,200,331.0840708,149650
159993,250,330.9050773,149900
160294,350,330.9471366,150250
160699,500,331.3186813,150750
161166,650,332.0175439,151400
161546,500,332.3851204,151900
161927,400,332.5327511,152300
162178,350,332.5708061,152650
162437,350,332.6086957,153000
163067,750,333.5140998,153750
163520,450,333.7662338,154200
163979,550,334.2332613,154750
164454,550,334.6982759,155300
164925,650,335.3763441,155950
165328,550,335.8369099,156500
165653,300,335.7601713,156800
166045,450,336.0042735,157250
166662,900,337.206823,158150
166939,300,337.1276596,158450
167211,150,336.7303609,158600
167558,350,336.7584746,158950
167851,300,336.6807611,159250
168257,450,336.9198312,159700
168679,650,337.5789474,160350
168974,350,337.605042,160700
169244,350,337.6310273,161050
169631,350,337.6569038,161400
169984,300,337.5782881,161700
170570,850,338.6458333,162550
170856,350,338.6694387,162900
171092,400,338.7966805,163300
171427,350,338.8198758,163650
171844,550,339.2561983,164200
172110,300,339.1752577,164500
172468,350,339.1975309,164850
173179,800,340.1437372,165650
173555,350,340.1639344,166000
173911,400,340.2862986,166400
174503,600,340.8163265,167000
175208,800,341.7515275,167800
175574,350,341.7682927,168150
175999,400,341.8864097,168550
176537,850,342.9149798,169400
176808,300,342.8282828,169700
177266,650,343.4475806,170350
177689,400,343.5613682,170750
177973,350,343.5742972,171100
178309,300,343.4869739,171400
178644,400,343.6,171800
178906,200,343.3133733,172000
