,Step,Reward,Total Mean,Total Reward
0,543,550.0,550.0,550.0
1,927,400.0,475.0,950.0
2,1315,250.0,400.0,1200.0
3,1630,200.0,350.0,1400.0
4,1996,350.0,350.0,1750.0
5,2427,400.0,358.3333333333333,2150.0
6,2763,350.0,357.14285714285717,2500.0
7,3150,300.0,350.0,2800.0
8,3414,150.0,327.77777777777777,2950.0
9,3694,100.0,305.0,3050.0
10,4012,250.0,300.0,3300.0
11,4312,250.0,295.8333333333333,3550.0
12,4593,0.0,273.0769230769231,3550.0
13,4823,100.0,260.7142857142857,3650.0
14,5144,200.0,256.6666666666667,3850.0
15,5606,350.0,262.5,4200.0
16,5975,300.0,264.70588235294116,4500.0
17,6329,350.0,269.44444444444446,4850.0
18,6601,200.0,265.7894736842105,5050.0
19,7210,850.0,295.0,5900.0
20,7517,200.0,290.4761904761905,6100.0
21,7934,250.0,288.6363636363636,6350.0
22,8254,250.0,286.95652173913044,6600.0
23,8783,550.0,297.9166666666667,7150.0
24,9159,300.0,298.0,7450.0
25,9525,350.0,300.0,7800.0
26,9901,250.0,298.14814814814815,8050.0
27,10425,350.0,300.0,8400.0
28,10743,200.0,296.55172413793105,8600.0
29,11077,400.0,300.0,9000.0
30,11398,200.0,296.7741935483871,9200.0
31,11772,450.0,301.5625,9650.0
32,12150,350.0,303.030303030303,10000.0
33,12742,600.0,311.7647058823529,10600.0
34,13213,400.0,314.2857142857143,11000.0
35,13529,200.0,311.1111111111111,11200.0
36,13804,200.0,308.1081081081081,11400.0
37,14164,250.0,306.57894736842104,11650.0
38,14435,350.0,307.6923076923077,12000.0
39,14696,150.0,303.75,12150.0
40,15036,150.0,300.0,12300.0
41,15373,300.0,300.0,12600.0
42,15649,150.0,296.51162790697674,12750.0
43,15926,100.0,292.04545454545456,12850.0
44,16344,400.0,294.44444444444446,13250.0
45,16653,250.0,293.4782608695652,13500.0
46,16934,250.0,292.5531914893617,13750.0
47,17257,300.0,292.7083333333333,14050.0
48,17625,350.0,293.8775510204082,14400.0
49,18111,400.0,296.0,14800.0
50,18647,400.0,298.03921568627453,15200.0
51,18918,100.0,294.2307692307692,15300.0
52,19218,300.0,294.33962264150944,15600.0
53,19453,50.0,289.81481481481484,15650.0
54,19719,150.0,287.27272727272725,15800.0
55,20004,100.0,283.92857142857144,15900.0
56,20283,150.0,281.57894736842104,16050.0
57,20815,400.0,283.62068965517244,16450.0
58,21125,250.0,283.0508474576271,16700.0
59,21395,150.0,280.8333333333333,16850.0
60,21660,100.0,277.8688524590164,16950.0
61,22070,400.0,279.83870967741933,17350.0
62,22505,400.0,281.74603174603175,17750.0
63,22909,300.0,282.03125,18050.0
64,23289,350.0,283.0769230769231,18400.0
65,23784,400.0,284.8484848484849,18800.0
66,24314,400.0,286.56716417910445,19200.0
67,24718,400.0,288.2352941176471,19600.0
68,24968,200.0,286.95652173913044,19800.0
69,25302,200.0,285.7142857142857,20000.0
70,25760,450.0,288.0281690140845,20450.0
71,26151,250.0,287.5,20700.0
72,26422,50.0,284.24657534246575,20750.0
73,26723,200.0,283.1081081081081,20950.0
74,27029,100.0,280.6666666666667,21050.0
75,27664,350.0,281.57894736842104,21400.0
76,28036,400.0,283.1168831168831,21800.0
77,28443,550.0,286.53846153846155,22350.0
78,28690,150.0,284.8101265822785,22500.0
79,29031,300.0,285.0,22800.0
80,29415,300.0,285.18518518518516,23100.0
81,29731,50.0,282.3170731707317,23150.0
82,30030,250.0,281.9277108433735,23400.0
83,30395,300.0,282.14285714285717,23700.0
84,30731,350.0,282.94117647058823,24050.0
85,31058,250.0,282.5581395348837,24300.0
86,31456,350.0,283.3333333333333,24650.0
87,31786,350.0,284.09090909090907,25000.0
88,32077,200.0,283.14606741573033,25200.0
89,32416,250.0,282.77777777777777,25450.0
90,32700,350.0,283.5164835164835,25800.0
91,32985,100.0,281.5217391304348,25900.0
92,33295,200.0,280.64516129032256,26100.0
93,33561,300.0,280.8510638297872,26400.0
94,33806,200.0,280.0,26600.0
95,34097,250.0,279.6875,26850.0
96,34385,250.0,279.3814432989691,27100.0
97,34659,250.0,279.0816326530612,27350.0
98,34955,50.0,276.7676767676768,27400.0
99,35223,200.0,276.0,27600.0
100,35491,100.0,274.25742574257424,27700.0
101,35748,350.0,275.0,28050.0
102,36120,400.0,276.2135922330097,28450.0
103,36592,650.0,279.8076923076923,29100.0
104,36862,50.0,277.6190476190476,29150.0
105,37134,150.0,276.41509433962267,29300.0
106,37387,150.0,275.23364485981307,29450.0
107,37601,250.0,275.0,29700.0
108,38004,450.0,276.60550458715596,30150.0
109,38276,150.0,275.45454545454544,30300.0
110,38705,350.0,276.1261261261261,30650.0
111,39113,400.0,277.23214285714283,31050.0
112,39598,600.0,280.08849557522126,31650.0
113,39882,100.0,278.50877192982455,31750.0
114,40198,250.0,278.2608695652174,32000.0
115,40473,100.0,276.7241379310345,32100.0
116,40737,100.0,275.21367521367523,32200.0
117,41081,450.0,276.6949152542373,32650.0
118,41618,550.0,278.99159663865544,33200.0
119,41885,150.0,277.9166666666667,33350.0
120,42377,600.0,280.57851239669424,33950.0
121,42854,450.0,281.9672131147541,34400.0
122,43137,200.0,281.3008130081301,34600.0
123,43395,300.0,281.4516129032258,34900.0
124,43661,300.0,281.6,35200.0
125,44072,600.0,284.12698412698415,35800.0
126,44410,200.0,283.46456692913387,36000.0
127,44704,200.0,282.8125,36200.0
128,44968,200.0,282.17054263565893,36400.0
129,45239,300.0,282.3076923076923,36700.0
130,45683,400.0,283.206106870229,37100.0
131,46082,400.0,284.09090909090907,37500.0
132,46445,200.0,283.45864661654133,37700.0
133,46717,350.0,283.95522388059703,38050.0
134,47430,700.0,287.037037037037,38750.0
135,47869,650.0,289.70588235294116,39400.0
136,48368,400.0,290.5109489051095,39800.0
137,48648,200.0,289.8550724637681,40000.0
138,48916,100.0,288.48920863309354,40100.0
139,49342,500.0,290.0,40600.0
140,49686,350.0,290.4255319148936,40950.0
141,49949,200.0,289.7887323943662,41150.0
142,50352,500.0,291.2587412587413,41650.0
143,50613,250.0,290.97222222222223,41900.0
144,51179,700.0,293.7931034482759,42600.0
145,51413,250.0,293.4931506849315,42850.0
146,52016,900.0,297.6190476190476,43750.0
147,52293,250.0,297.2972972972973,44000.0
148,52572,250.0,296.97986577181206,44250.0
149,53102,700.0,299.6666666666667,44950.0
150,53358,250.0,299.3377483443709,45200.0
151,53637,200.0,298.6842105263158,45400.0
152,54011,200.0,298.03921568627453,45600.0
153,54536,550.0,299.6753246753247,46150.0
154,54854,300.0,299.6774193548387,46450.0
155,55202,200.0,299.03846153846155,46650.0
156,55496,100.0,297.77070063694265,46750.0
157,55870,550.0,299.36708860759495,47300.0
158,56169,350.0,299.685534591195,47650.0
159,56676,750.0,302.5,48400.0
160,57087,500.0,303.72670807453414,48900.0
161,57412,300.0,303.7037037037037,49200.0
162,57776,100.0,302.4539877300613,49300.0
163,58200,350.0,302.7439024390244,49650.0
164,58453,100.0,301.5151515151515,49750.0
165,58807,200.0,300.90361445783134,49950.0
166,59119,450.0,301.79640718562877,50400.0
167,59670,550.0,303.2738095238095,50950.0
168,60076,400.0,303.84615384615387,51350.0
169,60449,250.0,303.52941176470586,51600.0
170,60809,350.0,303.80116959064327,51950.0
171,61087,250.0,303.48837209302326,52200.0
172,61384,450.0,304.33526011560696,52650.0
173,61595,100.0,303.1609195402299,52750.0
174,61979,350.0,303.42857142857144,53100.0
175,62276,300.0,303.40909090909093,53400.0
176,62568,300.0,303.3898305084746,53700.0
177,62943,400.0,303.9325842696629,54100.0
178,63260,300.0,303.9106145251397,54400.0
179,63749,450.0,304.72222222222223,54850.0
180,63994,250.0,304.41988950276243,55100.0
181,64290,250.0,304.1208791208791,55350.0
182,64560,250.0,303.8251366120219,55600.0
183,64939,150.0,302.9891304347826,55750.0
184,65228,250.0,302.7027027027027,56000.0
185,65695,450.0,303.494623655914,56450.0
186,66096,350.0,303.7433155080214,56800.0
187,66493,450.0,304.52127659574467,57250.0
188,66789,250.0,304.23280423280426,57500.0
189,67067,100.0,303.1578947368421,57600.0
190,67469,550.0,304.4502617801047,58150.0
191,67821,200.0,303.90625,58350.0
192,68266,650.0,305.69948186528495,59000.0
193,68550,150.0,304.89690721649487,59150.0
194,68910,450.0,305.64102564102564,59600.0
195,69174,300.0,305.61224489795916,59900.0
196,69580,300.0,305.5837563451777,60200.0
197,69849,200.0,305.050505050505,60400.0
198,70277,450.0,305.7788944723618,60850.0
199,70588,100.0,304.75,60950.0
200,70835,350.0,304.97512437810946,61300.0
201,71581,900.0,307.9207920792079,62200.0
202,71978,550.0,309.11330049261085,62750.0
203,72455,650.0,310.7843137254902,63400.0
204,72874,450.0,311.4634146341463,63850.0
205,73247,300.0,311.40776699029124,64150.0
206,73519,150.0,310.6280193236715,64300.0
207,73927,450.0,311.2980769230769,64750.0
208,74190,200.0,310.76555023923447,64950.0
209,74540,250.0,310.4761904761905,65200.0
210,74805,200.0,309.9526066350711,65400.0
211,75235,550.0,311.08490566037733,65950.0
212,75637,450.0,311.73708920187795,66400.0
213,75998,250.0,311.4485981308411,66650.0
214,76484,800.0,313.72093023255815,67450.0
215,76754,150.0,312.962962962963,67600.0
216,77074,400.0,313.3640552995392,68000.0
217,77331,200.0,312.8440366972477,68200.0
218,77618,150.0,312.1004566210046,68350.0
219,77968,300.0,312.04545454545456,68650.0
220,78357,350.0,312.21719457013575,69000.0
221,78784,500.0,313.06306306306305,69500.0
222,79285,700.0,314.7982062780269,70200.0
223,79968,600.0,316.07142857142856,70800.0
224,80428,350.0,316.22222222222223,71150.0
225,81007,850.0,318.5840707964602,72000.0
226,81441,200.0,318.0616740088106,72200.0
227,81794,350.0,318.20175438596493,72550.0
228,82166,450.0,318.7772925764192,73000.0
229,82456,250.0,318.4782608695652,73250.0
230,82949,750.0,320.34632034632034,74000.0
231,83342,400.0,320.6896551724138,74400.0
232,83594,200.0,320.17167381974247,74600.0
233,83896,250.0,319.87179487179486,74850.0
234,84205,400.0,320.21276595744683,75250.0
235,84599,550.0,321.1864406779661,75800.0
236,85010,500.0,321.9409282700422,76300.0
237,85326,450.0,322.47899159663865,76750.0
238,85797,450.0,323.01255230125525,77200.0
239,86157,350.0,323.125,77550.0
240,86517,250.0,322.8215767634855,77800.0
241,86983,550.0,323.7603305785124,78350.0
242,87334,300.0,323.6625514403292,78650.0
243,87647,100.0,322.74590163934425,78750.0
244,88243,850.0,324.8979591836735,79600.0
245,88598,350.0,325.0,79950.0
246,89029,300.0,324.8987854251012,80250.0
247,89294,300.0,324.7983870967742,80550.0
248,89879,700.0,326.30522088353416,81250.0
249,90333,500.0,327.0,81750.0
250,90581,200.0,326.49402390438246,81950.0
251,90828,200.0,325.9920634920635,82150.0
252,91231,350.0,326.0869565217391,82500.0
