,Step,Reward,Total Mean,Total Reward
0,329,300.0,300.0,300.0
1,705,250.0,275.0,550.0
2,1301,750.0,433.3333333333333,1300.0
3,1801,450.0,437.5,1750.0
4,2119,450.0,440.0,2200.0
5,2439,150.0,391.6666666666667,2350.0
6,2861,250.0,371.42857142857144,2600.0
7,3222,400.0,375.0,3000.0
8,3514,200.0,355.55555555555554,3200.0
9,3812,200.0,340.0,3400.0
10,4106,150.0,322.72727272727275,3550.0
11,4502,350.0,325.0,3900.0
12,4806,100.0,307.6923076923077,4000.0
13,5484,850.0,346.42857142857144,4850.0
14,5817,250.0,340.0,5100.0
15,6154,200.0,331.25,5300.0
16,6643,450.0,338.2352941176471,5750.0
17,6912,300.0,336.1111111111111,6050.0
18,7316,400.0,339.4736842105263,6450.0
19,7856,500.0,347.5,6950.0
20,8197,200.0,340.4761904761905,7150.0
21,8483,100.0,329.54545454545456,7250.0
22,8761,150.0,321.7391304347826,7400.0
23,9034,100.0,312.5,7500.0
24,9315,50.0,302.0,7550.0
25,9697,300.0,301.9230769230769,7850.0
26,10078,350.0,303.7037037037037,8200.0
27,10340,100.0,296.42857142857144,8300.0
28,10680,150.0,291.37931034482756,8450.0
29,10952,150.0,286.6666666666667,8600.0
30,11323,300.0,287.0967741935484,8900.0
31,11906,450.0,292.1875,9350.0
32,12183,150.0,287.8787878787879,9500.0
33,12571,300.0,288.2352941176471,9800.0
34,13015,500.0,294.2857142857143,10300.0
35,13306,200.0,291.6666666666667,10500.0
36,13588,150.0,287.8378378378378,10650.0
37,13991,400.0,290.7894736842105,11050.0
38,14326,350.0,292.3076923076923,11400.0
39,14641,150.0,288.75,11550.0
40,14983,200.0,286.5853658536585,11750.0
41,15540,400.0,289.2857142857143,12150.0
42,15821,150.0,286.04651162790697,12300.0
43,16105,150.0,282.95454545454544,12450.0
44,16401,200.0,281.1111111111111,12650.0
45,16689,100.0,277.17391304347825,12750.0
46,17003,200.0,275.531914893617,12950.0
47,17289,200.0,273.9583333333333,13150.0
48,17751,550.0,279.59183673469386,13700.0
49,18100,350.0,281.0,14050.0
50,18461,250.0,280.3921568627451,14300.0
51,18867,100.0,276.9230769230769,14400.0
52,19204,150.0,274.52830188679246,14550.0
53,19487,150.0,272.22222222222223,14700.0
54,19850,350.0,273.6363636363636,15050.0
55,20289,400.0,275.89285714285717,15450.0
56,20571,100.0,272.8070175438597,15550.0
57,20960,250.0,272.41379310344826,15800.0
58,21237,50.0,268.64406779661016,15850.0
59,21693,250.0,268.3333333333333,16100.0
60,22056,250.0,268.0327868852459,16350.0
61,22664,750.0,275.80645161290323,17100.0
62,23021,250.0,275.3968253968254,17350.0
63,23299,150.0,273.4375,17500.0
64,23607,200.0,272.3076923076923,17700.0
65,24066,450.0,275.0,18150.0
66,24339,150.0,273.13432835820896,18300.0
67,24626,150.0,271.3235294117647,18450.0
68,25104,650.0,276.81159420289856,19100.0
69,25430,150.0,275.0,19250.0
70,25807,450.0,277.46478873239437,19700.0
71,26372,500.0,280.55555555555554,20200.0
72,26688,300.0,280.82191780821915,20500.0
73,26969,150.0,279.05405405405406,20650.0
74,27377,350.0,280.0,21000.0
75,27630,100.0,277.63157894736844,21100.0
76,27923,100.0,275.3246753246753,21200.0
77,28349,500.0,278.20512820512823,21700.0
78,28630,300.0,278.4810126582278,22000.0
79,28902,100.0,276.25,22100.0
80,29501,450.0,278.39506172839504,22550.0
81,29936,350.0,279.2682926829268,22900.0
82,30290,250.0,278.9156626506024,23150.0
83,30631,250.0,278.57142857142856,23400.0
84,31071,250.0,278.2352941176471,23650.0
85,31377,400.0,279.6511627906977,24050.0
86,31829,450.0,281.60919540229884,24500.0
87,32114,100.0,279.54545454545456,24600.0
88,32486,300.0,279.7752808988764,24900.0
89,32828,400.0,281.1111111111111,25300.0
90,33215,250.0,280.7692307692308,25550.0
91,33631,500.0,283.1521739130435,26050.0
92,33959,300.0,283.3333333333333,26350.0
93,34228,100.0,281.3829787234043,26450.0
94,34509,400.0,282.63157894736844,26850.0
95,35141,700.0,286.9791666666667,27550.0
96,35489,300.0,287.11340206185565,27850.0
97,35863,400.0,288.265306122449,28250.0
98,36257,200.0,287.37373737373736,28450.0
99,36694,500.0,289.5,28950.0
100,37039,200.0,288.61386138613864,29150.0
101,37441,300.0,288.72549019607845,29450.0
102,37711,200.0,287.86407766990294,29650.0
103,38170,400.0,288.9423076923077,30050.0
104,38637,500.0,290.95238095238096,30550.0
105,38899,400.0,291.9811320754717,30950.0
106,39192,150.0,290.6542056074766,31100.0
107,39554,350.0,291.2037037037037,31450.0
108,39842,200.0,290.3669724770642,31650.0
109,40133,150.0,289.09090909090907,31800.0
110,40701,550.0,291.44144144144144,32350.0
111,41046,300.0,291.51785714285717,32650.0
112,41370,150.0,290.2654867256637,32800.0
113,41768,400.0,291.2280701754386,33200.0
114,42280,700.0,294.7826086956522,33900.0
115,42619,200.0,293.9655172413793,34100.0
116,42935,150.0,292.7350427350427,34250.0
117,43256,350.0,293.22033898305085,34600.0
118,43581,300.0,293.2773109243698,34900.0
119,43886,350.0,293.75,35250.0
120,44131,200.0,292.97520661157023,35450.0
121,44427,100.0,291.39344262295083,35550.0
122,44742,300.0,291.4634146341463,35850.0
123,45031,200.0,290.7258064516129,36050.0
