,Step,Reward,Total Mean,Total Reward
0,543,550.0,550.0,550.0
1,927,400.0,475.0,950.0
2,1315,250.0,400.0,1200.0
3,1630,200.0,350.0,1400.0
4,1996,350.0,350.0,1750.0
5,2427,400.0,358.3333333333333,2150.0
6,2763,350.0,357.14285714285717,2500.0
7,3150,300.0,350.0,2800.0
8,3414,150.0,327.77777777777777,2950.0
9,3694,100.0,305.0,3050.0
10,4012,250.0,300.0,3300.0
11,4312,250.0,295.8333333333333,3550.0
12,4593,0.0,273.0769230769231,3550.0
13,4823,100.0,260.7142857142857,3650.0
14,5144,200.0,256.6666666666667,3850.0
15,5606,350.0,262.5,4200.0
16,5975,300.0,264.70588235294116,4500.0
17,6329,350.0,269.44444444444446,4850.0
18,6601,200.0,265.7894736842105,5050.0
19,7210,850.0,295.0,5900.0
20,7517,200.0,290.4761904761905,6100.0
21,7934,250.0,288.6363636363636,6350.0
22,8254,250.0,286.95652173913044,6600.0
23,8783,550.0,297.9166666666667,7150.0
24,9159,300.0,298.0,7450.0
25,9525,350.0,300.0,7800.0
26,9901,250.0,298.14814814814815,8050.0
27,10425,350.0,300.0,8400.0
28,10743,200.0,296.55172413793105,8600.0
29,11077,400.0,300.0,9000.0
30,11398,200.0,296.7741935483871,9200.0
31,11772,450.0,301.5625,9650.0
32,12150,350.0,303.030303030303,10000.0
33,12742,600.0,311.7647058823529,10600.0
34,13213,400.0,314.2857142857143,11000.0
35,13529,200.0,311.1111111111111,11200.0
36,13804,200.0,308.1081081081081,11400.0
37,14164,250.0,306.57894736842104,11650.0
38,14435,350.0,307.6923076923077,12000.0
39,14696,150.0,303.75,12150.0
40,15036,150.0,300.0,12300.0
41,15373,300.0,300.0,12600.0
42,15649,150.0,296.51162790697674,12750.0
43,15926,100.0,292.04545454545456,12850.0
44,16344,400.0,294.44444444444446,13250.0
45,16653,250.0,293.4782608695652,13500.0
46,16934,250.0,292.5531914893617,13750.0
47,17257,300.0,292.7083333333333,14050.0
48,17625,350.0,293.8775510204082,14400.0
49,18111,400.0,296.0,14800.0
50,18647,400.0,298.03921568627453,15200.0
51,18918,100.0,294.2307692307692,15300.0
52,19218,300.0,294.33962264150944,15600.0
53,19453,50.0,289.81481481481484,15650.0
54,19719,150.0,287.27272727272725,15800.0
55,20004,100.0,283.92857142857144,15900.0
56,20416,350.0,285.0877192982456,16250.0
57,20697,50.0,281.0344827586207,16300.0
58,21113,300.0,281.35593220338984,16600.0
59,21471,550.0,285.8333333333333,17150.0
60,21776,200.0,284.42622950819674,17350.0
61,22179,400.0,286.2903225806452,17750.0
62,22444,100.0,283.3333333333333,17850.0
63,22854,350.0,284.375,18200.0
64,23265,250.0,283.84615384615387,18450.0
65,23575,200.0,282.57575757575756,18650.0
66,23829,200.0,281.34328358208955,18850.0
67,24423,650.0,286.7647058823529,19500.0
68,25013,550.0,290.57971014492756,20050.0
69,25295,200.0,289.2857142857143,20250.0
70,25549,100.0,286.61971830985914,20350.0
71,25845,250.0,286.1111111111111,20600.0
72,26208,200.0,284.93150684931504,20800.0
73,26520,200.0,283.7837837837838,21000.0
74,26840,300.0,284.0,21300.0
75,27142,150.0,282.2368421052632,21450.0
76,27506,250.0,281.8181818181818,21700.0
77,27779,200.0,280.7692307692308,21900.0
78,28118,150.0,279.11392405063293,22050.0
79,28402,350.0,280.0,22400.0
80,28742,350.0,280.8641975308642,22750.0
81,29187,400.0,282.3170731707317,23150.0
82,29515,200.0,281.32530120481925,23350.0
83,29869,200.0,280.35714285714283,23550.0
84,30394,500.0,282.94117647058823,24050.0
85,30684,150.0,281.3953488372093,24200.0
86,31061,300.0,281.60919540229884,24500.0
87,31505,500.0,284.09090909090907,25000.0
88,31910,400.0,285.39325842696627,25400.0
89,32196,150.0,283.8888888888889,25550.0
90,32539,400.0,285.16483516483515,25950.0
91,32815,150.0,283.69565217391306,26100.0
92,33085,100.0,281.7204301075269,26200.0
93,33392,200.0,280.8510638297872,26400.0
94,33671,100.0,278.94736842105266,26500.0
95,33980,250.0,278.6458333333333,26750.0
96,34332,300.0,278.8659793814433,27050.0
97,34594,250.0,278.57142857142856,27300.0
98,35048,550.0,281.3131313131313,27850.0
99,35357,250.0,281.0,28100.0
100,35737,350.0,281.6831683168317,28450.0
101,35975,100.0,279.9019607843137,28550.0
102,36246,100.0,278.15533980582524,28650.0
103,36527,100.0,276.4423076923077,28750.0
104,36981,600.0,279.5238095238095,29350.0
105,37287,150.0,278.3018867924528,29500.0
106,37562,150.0,277.10280373831773,29650.0
107,37866,200.0,276.3888888888889,29850.0
108,38158,150.0,275.22935779816515,30000.0
109,38470,200.0,274.54545454545456,30200.0
110,38800,300.0,274.77477477477476,30500.0
111,39111,400.0,275.89285714285717,30900.0
112,39610,550.0,278.3185840707965,31450.0
113,39924,250.0,278.0701754385965,31700.0
114,40166,150.0,276.95652173913044,31850.0
115,40702,700.0,280.6034482758621,32550.0
116,41055,350.0,281.1965811965812,32900.0
117,41316,250.0,280.93220338983053,33150.0
118,41596,150.0,279.83193277310926,33300.0
119,41859,150.0,278.75,33450.0
120,42214,300.0,278.92561983471074,33750.0
121,42492,150.0,277.8688524590164,33900.0
122,42978,400.0,278.8617886178862,34300.0
123,43217,150.0,277.8225806451613,34450.0
124,43490,50.0,276.0,34500.0
125,44001,500.0,277.77777777777777,35000.0
126,44264,100.0,276.37795275590554,35100.0
127,44646,400.0,277.34375,35500.0
128,45076,350.0,277.90697674418607,35850.0
129,45362,300.0,278.0769230769231,36150.0
130,45661,200.0,277.48091603053433,36350.0
131,46067,350.0,278.030303030303,36700.0
132,46351,150.0,277.0676691729323,36850.0
133,46649,150.0,276.1194029850746,37000.0
134,46968,200.0,275.55555555555554,37200.0
135,47405,350.0,276.1029411764706,37550.0
136,47835,300.0,276.2773722627737,37850.0
137,48169,250.0,276.0869565217391,38100.0
138,48449,150.0,275.1798561151079,38250.0
139,48717,300.0,275.35714285714283,38550.0
140,48975,100.0,274.11347517730496,38650.0
141,49242,150.0,273.23943661971833,38800.0
142,49578,400.0,274.12587412587413,39200.0
143,49924,350.0,274.65277777777777,39550.0
144,50259,300.0,274.82758620689657,39850.0
145,50704,450.0,276.027397260274,40300.0
146,50973,100.0,274.8299319727891,40400.0
147,51318,300.0,275.0,40700.0
148,51598,100.0,273.8255033557047,40800.0
149,51896,300.0,274.0,41100.0
150,52112,100.0,272.8476821192053,41200.0
151,52382,100.0,271.7105263157895,41300.0
152,52752,250.0,271.5686274509804,41550.0
153,53036,50.0,270.12987012987014,41600.0
154,53308,100.0,269.03225806451616,41700.0
155,53713,450.0,270.1923076923077,42150.0
156,54092,200.0,269.7452229299363,42350.0
157,54381,200.0,269.30379746835445,42550.0
158,54785,350.0,269.811320754717,42900.0
159,55375,800.0,273.125,43700.0
160,55952,600.0,275.1552795031056,44300.0
161,56500,600.0,277.1604938271605,44900.0
162,56776,150.0,276.3803680981595,45050.0
163,57097,300.0,276.5243902439024,45350.0
164,57458,350.0,276.969696969697,45700.0
165,57908,400.0,277.71084337349396,46100.0
166,58124,250.0,277.54491017964074,46350.0
167,58394,200.0,277.0833333333333,46550.0
168,58802,450.0,278.1065088757396,47000.0
169,59211,450.0,279.11764705882354,47450.0
170,59500,350.0,279.53216374269005,47800.0
171,59799,200.0,279.06976744186045,48000.0
172,60088,250.0,278.9017341040462,48250.0
173,60383,250.0,278.735632183908,48500.0
174,60631,250.0,278.57142857142856,48750.0
175,60903,250.0,278.40909090909093,49000.0
176,61177,200.0,277.96610169491527,49200.0
177,61528,300.0,278.08988764044943,49500.0
178,61916,500.0,279.3296089385475,50000.0
179,62185,350.0,279.72222222222223,50350.0
180,62529,450.0,280.6629834254144,50800.0
181,62817,200.0,280.2197802197802,51000.0
182,63184,250.0,280.05464480874315,51250.0
183,63463,200.0,279.6195652173913,51450.0
184,63770,250.0,279.4594594594595,51700.0
185,64190,500.0,280.64516129032256,52200.0
186,64463,100.0,279.67914438502675,52300.0
187,64871,300.0,279.78723404255317,52600.0
188,65352,500.0,280.95238095238096,53100.0
189,65632,200.0,280.5263157894737,53300.0
190,66189,500.0,281.67539267015707,53800.0
191,66480,200.0,281.25,54000.0
192,66999,750.0,283.67875647668393,54750.0
193,67273,200.0,283.2474226804124,54950.0
194,67600,250.0,283.0769230769231,55200.0
195,67975,250.0,282.90816326530614,55450.0
196,68261,250.0,282.74111675126903,55700.0
197,68839,650.0,284.5959595959596,56350.0
198,69253,450.0,285.42713567839195,56800.0
199,69530,150.0,284.75,56950.0
200,70101,600.0,286.318407960199,57550.0
201,70327,200.0,285.8910891089109,57750.0
202,70865,600.0,287.4384236453202,58350.0
203,71207,450.0,288.2352941176471,58800.0
204,71469,200.0,287.8048780487805,59000.0
205,71873,400.0,288.3495145631068,59400.0
206,72150,200.0,287.92270531400965,59600.0
207,72481,350.0,288.22115384615387,59950.0
208,72795,200.0,287.79904306220095,60150.0
209,73072,100.0,286.9047619047619,60250.0
210,73367,50.0,285.78199052132703,60300.0
211,73653,350.0,286.08490566037733,60650.0
212,74078,500.0,287.0892018779343,61150.0
213,74380,250.0,286.9158878504673,61400.0
214,74786,450.0,287.6744186046512,61850.0
215,75064,200.0,287.26851851851853,62050.0
216,75319,250.0,287.0967741935484,62300.0
217,75676,250.0,286.92660550458714,62550.0
218,76052,450.0,287.67123287671234,63000.0
219,76338,250.0,287.5,63250.0
220,76590,100.0,286.65158371040724,63350.0
221,76900,250.0,286.4864864864865,63600.0
222,77187,300.0,286.5470852017937,63900.0
223,77516,150.0,285.9375,64050.0
224,77908,400.0,286.44444444444446,64450.0
225,78350,350.0,286.72566371681415,64800.0
226,78908,600.0,288.1057268722467,65400.0
227,79255,300.0,288.1578947368421,65700.0
228,79781,750.0,290.174672489083,66450.0
229,80129,350.0,290.4347826086956,66800.0
230,80421,350.0,290.6926406926407,67150.0
231,80788,450.0,291.37931034482756,67600.0
232,81053,200.0,290.9871244635193,67800.0
233,81342,300.0,291.02564102564105,68100.0
234,81623,200.0,290.63829787234044,68300.0
235,81941,200.0,290.2542372881356,68500.0
236,82316,300.0,290.295358649789,68800.0
237,82674,250.0,290.12605042016804,69050.0
238,83041,300.0,290.1673640167364,69350.0
239,83411,450.0,290.8333333333333,69800.0
240,83804,450.0,291.49377593361,70250.0
241,84051,250.0,291.3223140495868,70500.0
242,84331,350.0,291.56378600823047,70850.0
243,84710,450.0,292.21311475409834,71300.0
244,85212,600.0,293.46938775510205,71900.0
245,85519,200.0,293.0894308943089,72100.0
246,85838,250.0,292.914979757085,72350.0
247,86141,300.0,292.94354838709677,72650.0
248,86583,600.0,294.17670682730926,73250.0
249,86864,150.0,293.6,73400.0
250,87315,500.0,294.42231075697214,73900.0
251,87590,200.0,294.04761904761904,74100.0
252,87865,200.0,293.67588932806325,74300.0
