,Step,Reward,Total Mean,Total Reward
0,329,300.0,300.0,300.0
1,705,250.0,275.0,550.0
2,1301,750.0,433.3333333333333,1300.0
3,1801,450.0,437.5,1750.0
4,2119,450.0,440.0,2200.0
5,2439,150.0,391.6666666666667,2350.0
6,2861,250.0,371.42857142857144,2600.0
7,3222,400.0,375.0,3000.0
8,3514,200.0,355.55555555555554,3200.0
9,3812,200.0,340.0,3400.0
10,4106,150.0,322.72727272727275,3550.0
11,4502,350.0,325.0,3900.0
12,4806,100.0,307.6923076923077,4000.0
13,5484,850.0,346.42857142857144,4850.0
14,5817,250.0,340.0,5100.0
15,6154,200.0,331.25,5300.0
16,6643,450.0,338.2352941176471,5750.0
17,6912,300.0,336.1111111111111,6050.0
18,7316,400.0,339.4736842105263,6450.0
19,7856,500.0,347.5,6950.0
20,8197,200.0,340.4761904761905,7150.0
21,8483,100.0,329.54545454545456,7250.0
22,8761,150.0,321.7391304347826,7400.0
23,9034,100.0,312.5,7500.0
24,9315,50.0,302.0,7550.0
25,9697,300.0,301.9230769230769,7850.0
26,10078,350.0,303.7037037037037,8200.0
27,10340,100.0,296.42857142857144,8300.0
28,10680,150.0,291.37931034482756,8450.0
29,10952,150.0,286.6666666666667,8600.0
30,11323,300.0,287.0967741935484,8900.0
31,11906,450.0,292.1875,9350.0
32,12183,150.0,287.8787878787879,9500.0
33,12571,300.0,288.2352941176471,9800.0
34,13015,500.0,294.2857142857143,10300.0
35,13306,200.0,291.6666666666667,10500.0
36,13588,150.0,287.8378378378378,10650.0
37,13991,400.0,290.7894736842105,11050.0
38,14326,350.0,292.3076923076923,11400.0
39,14641,150.0,288.75,11550.0
40,14983,200.0,286.5853658536585,11750.0
41,15540,400.0,289.2857142857143,12150.0
42,15821,150.0,286.04651162790697,12300.0
43,16105,150.0,282.95454545454544,12450.0
44,16401,200.0,281.1111111111111,12650.0
45,16689,100.0,277.17391304347825,12750.0
46,17003,200.0,275.531914893617,12950.0
47,17289,200.0,273.9583333333333,13150.0
48,17751,550.0,279.59183673469386,13700.0
49,18100,350.0,281.0,14050.0
50,18461,250.0,280.3921568627451,14300.0
51,18867,100.0,276.9230769230769,14400.0
52,19204,150.0,274.52830188679246,14550.0
53,19487,150.0,272.22222222222223,14700.0
54,19850,350.0,273.6363636363636,15050.0
55,20292,450.0,276.7857142857143,15500.0
56,20620,250.0,276.3157894736842,15750.0
57,21058,450.0,279.3103448275862,16200.0
58,21406,150.0,277.1186440677966,16350.0
59,21679,100.0,274.1666666666667,16450.0
60,21960,300.0,274.59016393442624,16750.0
61,22356,350.0,275.80645161290323,17100.0
62,22642,250.0,275.3968253968254,17350.0
63,22912,200.0,274.21875,17550.0
64,23231,300.0,274.61538461538464,17850.0
65,23644,300.0,275.0,18150.0
66,23919,200.0,273.8805970149254,18350.0
67,24248,150.0,272.05882352941177,18500.0
68,24520,150.0,270.28985507246375,18650.0
69,25105,650.0,275.7142857142857,19300.0
70,25692,800.0,283.09859154929575,20100.0
71,26020,200.0,281.94444444444446,20300.0
72,26286,200.0,280.82191780821915,20500.0
73,26718,300.0,281.0810810810811,20800.0
74,27156,450.0,283.3333333333333,21250.0
75,27592,350.0,284.2105263157895,21600.0
76,27869,200.0,283.1168831168831,21800.0
77,28144,100.0,280.7692307692308,21900.0
78,28409,200.0,279.746835443038,22100.0
79,28705,150.0,278.125,22250.0
80,29087,400.0,279.6296296296296,22650.0
81,29370,150.0,278.0487804878049,22800.0
82,29657,200.0,277.10843373493975,23000.0
83,30060,400.0,278.57142857142856,23400.0
84,30359,250.0,278.2352941176471,23650.0
85,30636,150.0,276.74418604651163,23800.0
86,31001,350.0,277.58620689655174,24150.0
87,31301,200.0,276.70454545454544,24350.0
88,31671,350.0,277.5280898876405,24700.0
89,32008,300.0,277.77777777777777,25000.0
90,32330,250.0,277.4725274725275,25250.0
91,32618,250.0,277.17391304347825,25500.0
92,33258,550.0,280.10752688172045,26050.0
93,33634,250.0,279.78723404255317,26300.0
94,33983,250.0,279.4736842105263,26550.0
95,34254,150.0,278.125,26700.0
96,34837,500.0,280.41237113402065,27200.0
97,35340,250.0,280.1020408163265,27450.0
98,35607,100.0,278.2828282828283,27550.0
99,36106,250.0,278.0,27800.0
100,36481,250.0,277.7227722772277,28050.0
101,36892,550.0,280.3921568627451,28600.0
102,37580,450.0,282.0388349514563,29050.0
103,37989,300.0,282.21153846153845,29350.0
104,38272,150.0,280.95238095238096,29500.0
105,38613,250.0,280.66037735849056,29750.0
106,39097,650.0,284.1121495327103,30400.0
107,39368,150.0,282.8703703703704,30550.0
108,39649,200.0,282.11009174311926,30750.0
109,39953,150.0,280.90909090909093,30900.0
110,40362,350.0,281.5315315315315,31250.0
111,40641,50.0,279.4642857142857,31300.0
112,41032,450.0,280.9734513274336,31750.0
113,41542,650.0,284.2105263157895,32400.0
114,41879,250.0,283.9130434782609,32650.0
115,42287,250.0,283.62068965517244,32900.0
116,42609,200.0,282.9059829059829,33100.0
117,43097,250.0,282.6271186440678,33350.0
118,43444,400.0,283.61344537815125,33750.0
119,43765,400.0,284.5833333333333,34150.0
120,44165,350.0,285.12396694214874,34500.0
121,44469,200.0,284.42622950819674,34700.0
122,44867,350.0,284.9593495934959,35050.0
123,45097,100.0,283.46774193548384,35150.0
