,Step,Reward,Total Mean,Total Reward
0,322,300.0,300.0,300.0
1,800,600.0,450.0,900.0
2,1082,100.0,333.3333333333333,1000.0
3,1433,250.0,312.5,1250.0
4,1751,250.0,300.0,1500.0
5,2504,900.0,400.0,2400.0
6,2788,150.0,364.2857142857143,2550.0
7,3084,200.0,343.75,2750.0
8,3342,200.0,327.77777777777777,2950.0
9,3687,250.0,320.0,3200.0
10,4100,300.0,318.1818181818182,3500.0
11,4384,150.0,304.1666666666667,3650.0
12,4672,150.0,292.3076923076923,3800.0
13,4956,200.0,285.7142857142857,4000.0
14,5342,400.0,293.3333333333333,4400.0
15,5620,150.0,284.375,4550.0
16,5860,50.0,270.5882352941176,4600.0
17,6199,400.0,277.77777777777777,5000.0
18,6609,200.0,273.6842105263158,5200.0
19,6901,300.0,275.0,5500.0
20,7314,300.0,276.1904761904762,5800.0
21,7853,350.0,279.54545454545456,6150.0
22,8183,300.0,280.4347826086956,6450.0
23,8486,200.0,277.0833333333333,6650.0
24,8794,200.0,274.0,6850.0
25,9213,400.0,278.84615384615387,7250.0
26,9620,350.0,281.48148148148147,7600.0
27,10173,500.0,289.2857142857143,8100.0
28,10497,150.0,284.48275862068965,8250.0
29,10913,200.0,281.6666666666667,8450.0
30,11205,150.0,277.4193548387097,8600.0
31,11542,250.0,276.5625,8850.0
32,11902,300.0,277.27272727272725,9150.0
33,12164,150.0,273.52941176470586,9300.0
34,12550,450.0,278.57142857142856,9750.0
35,12821,150.0,275.0,9900.0
36,13322,550.0,282.43243243243245,10450.0
37,13642,150.0,278.94736842105266,10600.0
38,14079,250.0,278.20512820512823,10850.0
39,14401,250.0,277.5,11100.0
40,14721,100.0,273.1707317073171,11200.0
41,14987,150.0,270.23809523809524,11350.0
42,15464,350.0,272.09302325581393,11700.0
43,15748,300.0,272.72727272727275,12000.0
44,16071,100.0,268.8888888888889,12100.0
45,16352,200.0,267.39130434782606,12300.0
46,17013,800.0,278.72340425531917,13100.0
