,Step,Reward,Total Mean,Total Reward
0,278,100.0,100.0,100.0
1,629,300.0,200.0,400.0
2,921,350.0,250.0,750.0
3,1513,600.0,337.5,1350.0
4,1821,200.0,310.0,1550.0
5,2427,850.0,400.0,2400.0
6,2707,100.0,357.14285714285717,2500.0
7,3154,300.0,350.0,2800.0
8,3424,100.0,322.22222222222223,2900.0
9,3774,350.0,325.0,3250.0
10,4092,200.0,313.6363636363636,3450.0
11,4600,450.0,325.0,3900.0
12,4909,250.0,319.2307692307692,4150.0
13,5245,250.0,314.2857142857143,4400.0
14,5616,250.0,310.0,4650.0
15,5869,150.0,300.0,4800.0
16,6200,200.0,294.11764705882354,5000.0
17,6682,450.0,302.77777777777777,5450.0
18,6973,50.0,289.4736842105263,5500.0
19,7281,150.0,282.5,5650.0
20,7563,200.0,278.57142857142856,5850.0
21,7858,200.0,275.0,6050.0
22,8210,450.0,282.60869565217394,6500.0
23,8480,100.0,275.0,6600.0
24,8952,550.0,286.0,7150.0
25,9292,150.0,280.7692307692308,7300.0
26,9561,250.0,279.6296296296296,7550.0
27,9885,200.0,276.7857142857143,7750.0
28,10215,300.0,277.58620689655174,8050.0
29,10727,550.0,286.6666666666667,8600.0
30,11164,350.0,288.7096774193548,8950.0
31,11457,250.0,287.5,9200.0
32,11715,150.0,283.3333333333333,9350.0
33,12004,250.0,282.3529411764706,9600.0
34,12245,50.0,275.7142857142857,9650.0
35,12652,300.0,276.3888888888889,9950.0
36,13154,500.0,282.43243243243245,10450.0
37,13692,150.0,278.94736842105266,10600.0
38,13956,100.0,274.35897435897436,10700.0
39,14318,350.0,276.25,11050.0
40,14580,100.0,271.9512195121951,11150.0
41,14978,350.0,273.8095238095238,11500.0
42,15249,150.0,270.93023255813955,11650.0
43,15521,200.0,269.3181818181818,11850.0
44,15842,250.0,268.8888888888889,12100.0
45,16156,150.0,266.30434782608694,12250.0
46,16479,300.0,267.02127659574467,12550.0
47,16829,450.0,270.8333333333333,13000.0
48,17096,150.0,268.3673469387755,13150.0
49,17373,200.0,267.0,13350.0
50,17810,500.0,271.5686274509804,13850.0
