,Step,Reward,Total Mean,Total Reward
0,353,250.0,250.0,250.0
1,757,300.0,275.0,550.0
2,1020,100.0,216.66666666666666,650.0
3,1262,200.0,212.5,850.0
4,1599,350.0,240.0,1200.0
5,1891,300.0,250.0,1500.0
6,2140,150.0,235.71428571428572,1650.0
7,2796,750.0,300.0,2400.0
8,3088,150.0,283.3333333333333,2550.0
9,3416,250.0,280.0,2800.0
10,3749,100.0,263.6363636363636,2900.0
11,4018,100.0,250.0,3000.0
12,4317,300.0,253.84615384615384,3300.0
13,4770,350.0,260.7142857142857,3650.0
14,5047,100.0,250.0,3750.0
15,5317,100.0,240.625,3850.0
16,5615,200.0,238.23529411764707,4050.0
17,6049,450.0,250.0,4500.0
18,6313,50.0,239.47368421052633,4550.0
19,6671,250.0,240.0,4800.0
20,6970,200.0,238.0952380952381,5000.0
21,7290,250.0,238.63636363636363,5250.0
22,7580,150.0,234.7826086956522,5400.0
23,7879,100.0,229.16666666666666,5500.0
24,8139,50.0,222.0,5550.0
25,8396,100.0,217.30769230769232,5650.0
26,8852,450.0,225.92592592592592,6100.0
27,9212,400.0,232.14285714285714,6500.0
28,9488,150.0,229.31034482758622,6650.0
29,9759,50.0,223.33333333333334,6700.0
30,10125,450.0,230.6451612903226,7150.0
31,10418,150.0,228.125,7300.0
32,10772,350.0,231.8181818181818,7650.0
33,11460,800.0,248.52941176470588,8450.0
34,12010,600.0,258.57142857142856,9050.0
35,12243,100.0,254.16666666666666,9150.0
36,12517,100.0,250.0,9250.0
37,12905,200.0,248.68421052631578,9450.0
38,13188,100.0,244.87179487179486,9550.0
39,13694,500.0,251.25,10050.0
40,14260,500.0,257.3170731707317,10550.0
41,14539,100.0,253.57142857142858,10650.0
42,14798,200.0,252.32558139534885,10850.0
43,15069,150.0,250.0,11000.0
44,15408,200.0,248.88888888888889,11200.0
45,15689,150.0,246.7391304347826,11350.0
46,15943,150.0,244.68085106382978,11500.0
47,16275,250.0,244.79166666666666,11750.0
48,16576,150.0,242.85714285714286,11900.0
49,16866,150.0,241.0,12050.0
50,17148,150.0,239.2156862745098,12200.0
51,17665,100.0,236.53846153846155,12300.0
52,18116,400.0,239.62264150943398,12700.0
53,18495,350.0,241.66666666666666,13050.0
54,18918,350.0,243.63636363636363,13400.0
55,19196,150.0,241.96428571428572,13550.0
56,19632,500.0,246.49122807017545,14050.0
57,19898,100.0,243.9655172413793,14150.0
58,20308,450.0,247.45762711864407,14600.0
59,20575,50.0,244.16666666666666,14650.0
60,21028,450.0,247.54098360655738,15100.0
61,21312,100.0,245.16129032258064,15200.0
62,21770,550.0,250.0,15750.0
63,22166,450.0,253.125,16200.0
64,22515,300.0,253.84615384615384,16500.0
65,23410,950.0,264.3939393939394,17450.0
66,23722,400.0,266.4179104477612,17850.0
67,24017,300.0,266.9117647058824,18150.0
68,24373,350.0,268.1159420289855,18500.0
69,24742,250.0,267.85714285714283,18750.0
70,25142,400.0,269.71830985915494,19150.0
71,25449,450.0,272.22222222222223,19600.0
72,25765,300.0,272.6027397260274,19900.0
73,26042,100.0,270.27027027027026,20000.0
74,26294,150.0,268.6666666666667,20150.0
75,26586,150.0,267.10526315789474,20300.0
76,26859,150.0,265.5844155844156,20450.0
77,27283,500.0,268.5897435897436,20950.0
78,27539,150.0,267.0886075949367,21100.0
79,27959,450.0,269.375,21550.0
80,28238,200.0,268.51851851851853,21750.0
81,28505,200.0,267.6829268292683,21950.0
82,28934,250.0,267.4698795180723,22200.0
83,29355,450.0,269.64285714285717,22650.0
84,29625,200.0,268.8235294117647,22850.0
85,29907,150.0,267.4418604651163,23000.0
86,30355,250.0,267.2413793103448,23250.0
87,30626,250.0,267.04545454545456,23500.0
88,30955,300.0,267.4157303370786,23800.0
89,31353,350.0,268.3333333333333,24150.0
90,31890,400.0,269.7802197802198,24550.0
91,32214,350.0,270.6521739130435,24900.0
92,32553,200.0,269.89247311827955,25100.0
93,32799,150.0,268.6170212765957,25250.0
94,33129,300.0,268.94736842105266,25550.0
95,33424,200.0,268.2291666666667,25750.0
96,33782,400.0,269.58762886597935,26150.0
97,34256,550.0,272.44897959183675,26700.0
98,34524,150.0,271.2121212121212,26850.0
99,34853,300.0,271.5,27150.0
100,35120,150.0,270.2970297029703,27300.0
101,35651,450.0,272.05882352941177,27750.0
102,35909,100.0,270.3883495145631,27850.0
103,36161,200.0,269.71153846153845,28050.0
104,36921,800.0,274.76190476190476,28850.0
105,37154,250.0,274.52830188679246,29100.0
106,37422,100.0,272.89719626168227,29200.0
107,37690,200.0,272.22222222222223,29400.0
108,37966,300.0,272.4770642201835,29700.0
109,38240,200.0,271.8181818181818,29900.0
110,38520,200.0,271.1711711711712,30100.0
111,38825,350.0,271.875,30450.0
112,39295,400.0,273.0088495575221,30850.0
113,39624,350.0,273.6842105263158,31200.0
114,40031,250.0,273.4782608695652,31450.0
115,40363,250.0,273.2758620689655,31700.0
116,40732,450.0,274.78632478632477,32150.0
117,41240,100.0,273.3050847457627,32250.0
118,41563,200.0,272.6890756302521,32450.0
119,41905,350.0,273.3333333333333,32800.0
120,42305,400.0,274.3801652892562,33200.0
121,42963,750.0,278.27868852459017,33950.0
122,43214,100.0,276.8292682926829,34050.0
123,43718,800.0,281.0483870967742,34850.0
124,44000,200.0,280.4,35050.0
125,44279,150.0,279.36507936507934,35200.0
126,44725,450.0,280.70866141732284,35650.0
127,45103,150.0,279.6875,35800.0
128,45490,350.0,280.2325581395349,36150.0
129,45770,300.0,280.38461538461536,36450.0
130,46192,200.0,279.7709923664122,36650.0
131,46387,100.0,278.40909090909093,36750.0
132,46683,400.0,279.3233082706767,37150.0
133,46951,100.0,277.9850746268657,37250.0
134,47208,200.0,277.4074074074074,37450.0
135,47554,250.0,277.20588235294116,37700.0
136,47813,100.0,275.9124087591241,37800.0
137,48144,250.0,275.72463768115944,38050.0
138,48462,150.0,274.8201438848921,38200.0
139,48805,250.0,274.64285714285717,38450.0
140,49132,450.0,275.88652482269504,38900.0
141,49417,350.0,276.40845070422534,39250.0
142,49715,200.0,275.87412587412587,39450.0
143,49965,350.0,276.3888888888889,39800.0
144,50381,300.0,276.55172413793105,40100.0
145,50837,300.0,276.71232876712327,40400.0
146,51162,300.0,276.8707482993197,40700.0
147,51468,300.0,277.02702702702703,41000.0
148,51732,50.0,275.503355704698,41050.0
149,52037,300.0,275.6666666666667,41350.0
150,52489,450.0,276.8211920529801,41800.0
151,52926,450.0,277.9605263157895,42250.0
152,53335,400.0,278.75816993464053,42650.0
153,53556,150.0,277.9220779220779,42800.0
154,53804,150.0,277.0967741935484,42950.0
155,54109,300.0,277.2435897435897,43250.0
156,54726,600.0,279.29936305732485,43850.0
157,55116,300.0,279.43037974683546,44150.0
158,55423,150.0,278.6163522012579,44300.0
159,55789,350.0,279.0625,44650.0
160,56266,350.0,279.5031055900621,45000.0
161,56655,300.0,279.6296296296296,45300.0
162,56948,250.0,279.44785276073617,45550.0
163,57220,250.0,279.2682926829268,45800.0
164,57592,400.0,280.0,46200.0
165,57874,250.0,279.8192771084337,46450.0
166,58351,350.0,280.23952095808386,46800.0
167,58705,400.0,280.95238095238096,47200.0
168,59103,500.0,282.24852071005915,47700.0
169,59387,350.0,282.6470588235294,48050.0
170,59748,250.0,282.4561403508772,48300.0
171,60363,650.0,284.59302325581393,48950.0
172,60925,550.0,286.1271676300578,49500.0
173,61286,350.0,286.4942528735632,49850.0
174,61585,350.0,286.85714285714283,50200.0
175,62169,750.0,289.4886363636364,50950.0
176,62593,350.0,289.8305084745763,51300.0
177,62857,200.0,289.3258426966292,51500.0
178,63128,250.0,289.10614525139664,51750.0
179,63447,400.0,289.72222222222223,52150.0
180,63836,550.0,291.16022099447514,52700.0
181,64114,100.0,290.1098901098901,52800.0
182,64516,450.0,290.9836065573771,53250.0
183,64783,250.0,290.7608695652174,53500.0
184,65037,150.0,290.0,53650.0
185,65300,150.0,289.247311827957,53800.0
186,65568,300.0,289.3048128342246,54100.0
187,65896,250.0,289.09574468085106,54350.0
188,66301,300.0,289.15343915343914,54650.0
189,66570,250.0,288.94736842105266,54900.0
190,67033,350.0,289.26701570680626,55250.0
191,67299,100.0,288.28125,55350.0
192,67621,350.0,288.60103626943004,55700.0
193,67862,100.0,287.62886597938143,55800.0
194,68116,100.0,286.6666666666667,55900.0
195,68373,150.0,285.96938775510205,56050.0
196,68654,350.0,286.29441624365484,56400.0
197,69014,500.0,287.37373737373736,56900.0
198,69331,200.0,286.93467336683415,57100.0
199,69599,150.0,286.25,57250.0
200,69847,150.0,285.5721393034826,57400.0
201,70137,300.0,285.64356435643566,57700.0
202,70398,150.0,284.97536945812806,57850.0
203,70667,350.0,285.29411764705884,58200.0
204,70962,250.0,285.1219512195122,58450.0
205,71228,50.0,283.9805825242718,58500.0
206,71494,150.0,283.3333333333333,58650.0
207,71764,250.0,283.1730769230769,58900.0
208,72020,300.0,283.2535885167464,59200.0
209,72407,350.0,283.57142857142856,59550.0
210,72681,250.0,283.4123222748815,59800.0
211,73001,150.0,282.7830188679245,59950.0
212,73402,450.0,283.5680751173709,60400.0
213,73851,100.0,282.7102803738318,60500.0
214,74214,400.0,283.25581395348837,60900.0
215,74565,150.0,282.6388888888889,61050.0
216,75218,600.0,284.10138248847926,61650.0
217,75509,150.0,283.48623853211006,61800.0
218,75938,500.0,284.4748858447489,62300.0
