,Reward,Total Mean,Total Reward
0,100.0,100.0,100.0
1,300.0,200.0,400.0
2,350.0,250.0,750.0
3,600.0,337.5,1350.0
4,200.0,310.0,1550.0
5,850.0,400.0,2400.0
6,100.0,357.14285714285717,2500.0
7,300.0,350.0,2800.0
8,100.0,322.22222222222223,2900.0
9,350.0,325.0,3250.0
10,200.0,313.6363636363636,3450.0
11,450.0,325.0,3900.0
12,250.0,319.2307692307692,4150.0
13,250.0,314.2857142857143,4400.0
14,250.0,310.0,4650.0
15,150.0,300.0,4800.0
16,200.0,294.11764705882354,5000.0
17,450.0,302.77777777777777,5450.0
18,50.0,289.4736842105263,5500.0
19,150.0,282.5,5650.0
20,200.0,278.57142857142856,5850.0
21,200.0,275.0,6050.0
22,450.0,282.60869565217394,6500.0
23,100.0,275.0,6600.0
24,550.0,286.0,7150.0
25,150.0,280.7692307692308,7300.0
26,250.0,279.6296296296296,7550.0
27,200.0,276.7857142857143,7750.0
28,300.0,277.58620689655174,8050.0
29,550.0,286.6666666666667,8600.0
30,350.0,288.7096774193548,8950.0
31,250.0,287.5,9200.0
32,150.0,283.3333333333333,9350.0
33,250.0,282.3529411764706,9600.0
34,50.0,275.7142857142857,9650.0
35,300.0,276.3888888888889,9950.0
36,500.0,282.43243243243245,10450.0
37,150.0,278.94736842105266,10600.0
38,100.0,274.35897435897436,10700.0
39,350.0,276.25,11050.0
40,100.0,271.9512195121951,11150.0
41,350.0,273.8095238095238,11500.0
42,150.0,270.93023255813955,11650.0
43,200.0,269.3181818181818,11850.0
44,250.0,268.8888888888889,12100.0
45,150.0,266.30434782608694,12250.0
46,300.0,267.02127659574467,12550.0
47,450.0,270.8333333333333,13000.0
48,150.0,268.3673469387755,13150.0
49,200.0,267.0,13350.0
50,500.0,271.5686274509804,13850.0
51,300.0,272.11538461538464,14150.0
52,350.0,273.58490566037733,14500.0
53,150.0,271.2962962962963,14650.0
54,100.0,268.1818181818182,14750.0
55,350.0,269.64285714285717,15100.0
56,250.0,269.29824561403507,15350.0
57,150.0,267.2413793103448,15500.0
58,200.0,266.10169491525426,15700.0
59,350.0,267.5,16050.0
60,100.0,264.75409836065575,16150.0
61,100.0,262.0967741935484,16250.0
62,200.0,261.1111111111111,16450.0
63,50.0,257.8125,16500.0
64,150.0,256.15384615384613,16650.0
65,200.0,255.3030303030303,16850.0
66,200.0,254.47761194029852,17050.0
67,350.0,255.88235294117646,17400.0
68,50.0,252.8985507246377,17450.0
69,100.0,250.71428571428572,17550.0
70,100.0,248.59154929577466,17650.0
71,200.0,247.91666666666666,17850.0
72,50.0,245.2054794520548,17900.0
73,150.0,243.9189189189189,18050.0
74,50.0,241.33333333333334,18100.0
75,150.0,240.1315789473684,18250.0
76,150.0,238.96103896103895,18400.0
77,200.0,238.46153846153845,18600.0
78,300.0,239.2405063291139,18900.0
79,450.0,241.875,19350.0
80,250.0,241.97530864197532,19600.0
81,100.0,240.2439024390244,19700.0
82,250.0,240.36144578313252,19950.0
83,100.0,238.6904761904762,20050.0
84,450.0,241.1764705882353,20500.0
85,200.0,240.69767441860466,20700.0
86,100.0,239.08045977011494,20800.0
87,100.0,237.5,20900.0
88,150.0,236.51685393258427,21050.0
89,350.0,237.77777777777777,21400.0
90,150.0,236.8131868131868,21550.0
91,250.0,236.95652173913044,21800.0
92,300.0,237.63440860215053,22100.0
93,400.0,239.36170212765958,22500.0
94,150.0,238.42105263157896,22650.0
95,400.0,240.10416666666666,23050.0
