,Step,Reward,Total Mean,Total Reward
0,329,300.0,300.0,300.0
1,705,250.0,275.0,550.0
2,1301,750.0,433.3333333333333,1300.0
3,1801,450.0,437.5,1750.0
4,2119,450.0,440.0,2200.0
5,2439,150.0,391.6666666666667,2350.0
6,2861,250.0,371.42857142857144,2600.0
7,3222,400.0,375.0,3000.0
8,3514,200.0,355.55555555555554,3200.0
9,3812,200.0,340.0,3400.0
10,4106,150.0,322.72727272727275,3550.0
11,4502,350.0,325.0,3900.0
12,4806,100.0,307.6923076923077,4000.0
13,5484,850.0,346.42857142857144,4850.0
14,5817,250.0,340.0,5100.0
15,6154,200.0,331.25,5300.0
16,6643,450.0,338.2352941176471,5750.0
17,6912,300.0,336.1111111111111,6050.0
18,7316,400.0,339.4736842105263,6450.0
19,7856,500.0,347.5,6950.0
20,8197,200.0,340.4761904761905,7150.0
21,8483,100.0,329.54545454545456,7250.0
22,8761,150.0,321.7391304347826,7400.0
23,9034,100.0,312.5,7500.0
24,9315,50.0,302.0,7550.0
25,9697,300.0,301.9230769230769,7850.0
26,10078,350.0,303.7037037037037,8200.0
27,10340,100.0,296.42857142857144,8300.0
28,10680,150.0,291.37931034482756,8450.0
29,10952,150.0,286.6666666666667,8600.0
30,11323,300.0,287.0967741935484,8900.0
31,11906,450.0,292.1875,9350.0
32,12183,150.0,287.8787878787879,9500.0
33,12571,300.0,288.2352941176471,9800.0
34,13015,500.0,294.2857142857143,10300.0
35,13306,200.0,291.6666666666667,10500.0
36,13588,150.0,287.8378378378378,10650.0
37,13991,400.0,290.7894736842105,11050.0
38,14326,350.0,292.3076923076923,11400.0
39,14641,150.0,288.75,11550.0
40,14983,200.0,286.5853658536585,11750.0
41,15540,400.0,289.2857142857143,12150.0
42,15821,150.0,286.04651162790697,12300.0
43,16105,150.0,282.95454545454544,12450.0
44,16401,200.0,281.1111111111111,12650.0
45,16689,100.0,277.17391304347825,12750.0
46,17003,200.0,275.531914893617,12950.0
47,17289,200.0,273.9583333333333,13150.0
48,17751,550.0,279.59183673469386,13700.0
49,18100,350.0,281.0,14050.0
50,18461,250.0,280.3921568627451,14300.0
51,18867,100.0,276.9230769230769,14400.0
52,19204,150.0,274.52830188679246,14550.0
53,19487,150.0,272.22222222222223,14700.0
54,19850,350.0,273.6363636363636,15050.0
55,20292,500.0,277.67857142857144,15550.0
56,20619,300.0,278.0701754385965,15850.0
57,21035,450.0,281.0344827586207,16300.0
58,21344,100.0,277.96610169491527,16400.0
59,21663,150.0,275.8333333333333,16550.0
60,21940,150.0,273.7704918032787,16700.0
61,22289,250.0,273.38709677419354,16950.0
62,22595,150.0,271.42857142857144,17100.0
63,22879,200.0,270.3125,17300.0
64,23350,400.0,272.3076923076923,17700.0
65,23673,150.0,270.45454545454544,17850.0
66,24114,200.0,269.4029850746269,18050.0
67,24461,200.0,268.38235294117646,18250.0
68,24765,100.0,265.94202898550725,18350.0
69,25051,100.0,263.57142857142856,18450.0
70,25465,300.0,264.0845070422535,18750.0
71,25847,250.0,263.8888888888889,19000.0
72,26295,300.0,264.3835616438356,19300.0
73,26753,450.0,266.8918918918919,19750.0
74,27190,500.0,270.0,20250.0
75,27624,650.0,275.0,20900.0
76,27957,300.0,275.3246753246753,21200.0
77,28327,250.0,275.0,21450.0
78,28647,300.0,275.3164556962025,21750.0
79,29333,700.0,280.625,22450.0
80,29637,250.0,280.24691358024694,22700.0
81,29907,150.0,278.6585365853659,22850.0
82,30201,50.0,275.90361445783134,22900.0
83,30578,250.0,275.5952380952381,23150.0
84,30960,250.0,275.29411764705884,23400.0
85,31222,200.0,274.4186046511628,23600.0
86,31615,450.0,276.4367816091954,24050.0
87,31999,200.0,275.5681818181818,24250.0
88,32269,250.0,275.2808988764045,24500.0
89,32637,450.0,277.22222222222223,24950.0
90,32922,350.0,278.02197802197804,25300.0
91,33333,350.0,278.80434782608694,25650.0
92,33608,100.0,276.8817204301075,25750.0
93,34023,350.0,277.6595744680851,26100.0
94,34451,500.0,280.0,26600.0
95,34768,200.0,279.1666666666667,26800.0
96,35154,300.0,279.3814432989691,27100.0
97,35455,250.0,279.0816326530612,27350.0
98,35740,100.0,277.27272727272725,27450.0
99,36114,350.0,278.0,27800.0
100,36379,100.0,276.23762376237624,27900.0
101,36888,450.0,277.94117647058823,28350.0
102,37207,250.0,277.66990291262135,28600.0
103,37596,400.0,278.84615384615387,29000.0
104,37917,150.0,277.6190476190476,29150.0
105,38279,250.0,277.35849056603774,29400.0
106,38681,600.0,280.3738317757009,30000.0
107,39043,400.0,281.48148148148147,30400.0
108,39290,200.0,280.73394495412845,30600.0
109,39516,250.0,280.45454545454544,30850.0
110,39776,150.0,279.27927927927925,31000.0
111,40175,400.0,280.35714285714283,31400.0
112,40585,400.0,281.4159292035398,31800.0
113,40878,300.0,281.57894736842104,32100.0
114,41175,150.0,280.4347826086956,32250.0
115,41589,300.0,280.6034482758621,32550.0
116,42060,500.0,282.4786324786325,33050.0
117,42379,350.0,283.0508474576271,33400.0
118,42651,100.0,281.5126050420168,33500.0
119,43025,400.0,282.5,33900.0
120,43474,300.0,282.64462809917353,34200.0
121,43777,250.0,282.37704918032784,34450.0
122,44092,350.0,282.9268292682927,34800.0
123,44474,500.0,284.6774193548387,35300.0
124,44756,100.0,283.2,35400.0
